管内エリア,地区名,センター,燃えるごみ,燃えないごみ,プラ容,空ビン,ペットボトル,危険ごみ（乾電池）,危険ごみ（ボンベ等）,アルミ,白色トレー,拠点収集A,拠点収集B,資源物（三雲管内）,資源物（本庁管内）,ダンボール、古着類,新聞紙、雑誌・雑紙、牛乳パック,ペットボトル、蛍光管,白色トレー、アルミ缶、危険ごみ
本庁管内,土取第２,本庁A3,月 木,20160302 20160316 20160330 20160413 20160427 20160511 20160525 20160608 20160622 20160706 20160720 20160803 20160817 20160831 20160914 20160928 20161012 20161026 20161109 20161123 20161207 20161221 20170104 20170118 20170201 20170215 20170301 20170315 20170329,金,20160405 20160510 20160607 20160705 20160802 20160906 20161004 20161101 20161206 20170110 20170207 20170307,,20160302 20160316 20160330 20160413 20160427 20160511 20160525 20160608 20160622 20160706 20160720 20160803 20160817 20160831 20160914 20160928 20161012 20161026 20161109 20161123 20161207 20161221 20170104 20170118 20170201 20170215 20170301 20170315 20170329,20160302 20160316 20160330 20160413 20160427 20160511 20160525 20160608 20160622 20160706 20160720 20160803 20160817 20160831 20160914 20160928 20161012 20161026 20161109 20161123 20161207 20161221 20170104 20170118 20170201 20170215 20170301 20170315 20170329,,,,,,20160315 20160419 20160524 20160621 20160719 20160816 20160920 20161018 20161122 20161220 20170124 20170221 20170321,,,,
本庁管内,出曲町 ,本庁B4,火 金,20160309 20160323 20160406 20160420 20160504 20160518 20160601 20160615 20160629 20160713 20160727 20160810 20160824 20160907 20160921 20161005 20161019 20161102 20161116 20161130 20161214 20161228 20170111 20170125 20170208 20170222 20170308 20170322,木,20160328 20160425 20160530 20160627 20160725 20160829 20160926 20161031 20161128 20161226 20170130 20170227 20170327,,20160309 20160323 20160406 20160420 20160504 20160518 20160601 20160615 20160629 20160713 20160727 20160810 20160824 20160907 20160921 20161005 20161019 20161102 20161116 20161130 20161214 20161228 20170111 20170125 20170208 20170222 20170308 20170322,20160309 20160323 20160406 20160420 20160504 20160518 20160601 20160615 20160629 20160713 20160727 20160810 20160824 20160907 20160921 20161005 20161019 20161102 20161116 20161130 20161214 20161228 20170111 20170125 20170208 20170222 20170308 20170322,,,,,,20160411 20160516 20160613 20160711 20160808 20160912 20161017 20161114 20161212 20170123 20170213 20170313,,,,
本庁管内,寺井,本庁B1,火 金,20160309 20160323 20160406 20160420 20160504 20160518 20160601 20160615 20160629 20160713 20160727 20160810 20160824 20160907 20160921 20161005 20161019 20161102 20161116 20161130 20161214 20161228 20170111 20170125 20170208 20170222 20170308 20170322,月,20160317 20160421 20160526 20160616 20160721 20160825 20160915 20161020 20161124 20161215 20170119 20170216 20170316,,20160309 20160323 20160406 20160420 20160504 20160518 20160601 20160615 20160629 20160713 20160727 20160810 20160824 20160907 20160921 20161005 20161019 20161102 20161116 20161130 20161214 20161228 20170111 20170125 20170208 20170222 20170308 20170322,20160309 20160323 20160406 20160420 20160504 20160518 20160601 20160615 20160629 20160713 20160727 20160810 20160824 20160907 20160921 20161005 20161019 20161102 20161116 20161130 20161214 20161228 20170111 20170125 20170208 20170222 20170308 20170322,,,,,,20160407 20160512 20160602 20160707 20160804 20160901 20161006 20161110 20161201 20170105 20170202 20170302,,,,
本庁管内,通り上川町 ,本庁A1,月 木,20160302 20160316 20160330 20160413 20160427 20160511 20160525 20160608 20160622 20160706 20160720 20160803 20160817 20160831 20160914 20160928 20161012 20161026 20161109 20161123 20161207 20161221 20170104 20170118 20170201 20170215 20170301 20170315 20170329,火,20160401 20160506 20160603 20160701 20160805 20160902 20161007 20161104 20161202 20170106 20170203 20170303,,20160302 20160316 20160330 20160413 20160427 20160511 20160525 20160608 20160622 20160706 20160720 20160803 20160817 20160831 20160914 20160928 20161012 20161026 20161109 20161123 20161207 20161221 20170104 20170118 20170201 20170215 20170301 20170315 20170329,20160302 20160316 20160330 20160413 20160427 20160511 20160525 20160608 20160622 20160706 20160720 20160803 20160817 20160831 20160914 20160928 20161012 20161026 20161109 20161123 20161207 20161221 20170104 20170118 20170201 20170215 20170301 20170315 20170329,,,,,,20160318 20160415 20160520 20160617 20160722 20160819 20160916 20161021 20161118 20161209 20170120 20170217 20170317,,,,
本庁管内,土岐,本庁A3,月 木,20160302 20160316 20160330 20160413 20160427 20160511 20160525 20160608 20160622 20160706 20160720 20160803 20160817 20160831 20160914 20160928 20161012 20161026 20161109 20161123 20161207 20161221 20170104 20170118 20170201 20170215 20170301 20170315 20170329,金,20160405 20160510 20160607 20160705 20160802 20160906 20161004 20161101 20161206 20170110 20170207 20170307,,20160302 20160316 20160330 20160413 20160427 20160511 20160525 20160608 20160622 20160706 20160720 20160803 20160817 20160831 20160914 20160928 20161012 20161026 20161109 20161123 20161207 20161221 20170104 20170118 20170201 20170215 20170301 20170315 20170329,20160302 20160316 20160330 20160413 20160427 20160511 20160525 20160608 20160622 20160706 20160720 20160803 20160817 20160831 20160914 20160928 20161012 20161026 20161109 20161123 20161207 20161221 20170104 20170118 20170201 20170215 20170301 20170315 20170329,,,,,,20160315 20160419 20160524 20160621 20160719 20160816 20160920 20161018 20161122 20161220 20170124 20170221 20170321,,,,
本庁管内,徳和,本庁A2,月 木,20160302 20160316 20160330 20160413 20160427 20160511 20160525 20160608 20160622 20160706 20160720 20160803 20160817 20160831 20160914 20160928 20161012 20161026 20161109 20161123 20161207 20161221 20170104 20170118 20170201 20170215 20170301 20170315 20170329,火,20160408 20160513 20160610 20160708 20160812 20160909 20161014 20161111 20161202 20170113 20170210 20170310,,20160302 20160316 20160330 20160413 20160427 20160511 20160525 20160608 20160622 20160706 20160720 20160803 20160817 20160831 20160914 20160928 20161012 20161026 20161109 20161123 20161207 20161221 20170104 20170118 20170201 20170215 20170301 20170315 20170329,20160302 20160316 20160330 20160413 20160427 20160511 20160525 20160608 20160622 20160706 20160720 20160803 20160817 20160831 20160914 20160928 20161012 20161026 20161109 20161123 20161207 20161221 20170104 20170118 20170201 20170215 20170301 20170315 20170329,,,,,,20160325 20160422 20160527 20160624 20160729 20160826 20160930 20161028 20161125 20161216 20170127 20170224 20170324,,,,
本庁管内,殿町 ,本庁B2,火 金,20160309 20160323 20160406 20160420 20160504 20160518 20160601 20160615 20160629 20160713 20160727 20160810 20160824 20160907 20160921 20161005 20161019 20161102 20161116 20161130 20161214 20161228 20170111 20170125 20170208 20170222 20170308 20170322,月,20160324 20160428 20160526 20160623 20160728 20160825 20160929 20161027 20161124 20161222 20170126 20170223 20170323,,20160309 20160323 20160406 20160420 20160504 20160518 20160601 20160615 20160629 20160713 20160727 20160810 20160824 20160907 20160921 20161005 20161019 20161102 20161116 20161130 20161214 20161228 20170111 20170125 20170208 20170222 20170308 20170322,20160309 20160323 20160406 20160420 20160504 20160518 20160601 20160615 20160629 20160713 20160727 20160810 20160824 20160907 20160921 20161005 20161019 20161102 20161116 20161130 20161214 20161228 20170111 20170125 20170208 20170222 20170308 20170322,,,,,,20160414 20160519 20160609 20160714 20160818 20160908 20161013 20161117 20161208 20170112 20170209 20170309,,,,
本庁管内,殿村町,本庁B4,火 金,20160309 20160323 20160406 20160420 20160504 20160518 20160601 20160615 20160629 20160713 20160727 20160810 20160824 20160907 20160921 20161005 20161019 20161102 20161116 20161130 20161214 20161228 20170111 20170125 20170208 20170222 20170308 20170322,木,20160328 20160425 20160530 20160627 20160725 20160829 20160926 20161031 20161128 20161226 20170130 20170227 20170327,,20160309 20160323 20160406 20160420 20160504 20160518 20160601 20160615 20160629 20160713 20160727 20160810 20160824 20160907 20160921 20161005 20161019 20161102 20161116 20161130 20161214 20161228 20170111 20170125 20170208 20170222 20170308 20170322,20160309 20160323 20160406 20160420 20160504 20160518 20160601 20160615 20160629 20160713 20160727 20160810 20160824 20160907 20160921 20161005 20161019 20161102 20161116 20161130 20161214 20161228 20170111 20170125 20170208 20170222 20170308 20170322,,,,,,20160411 20160516 20160613 20160711 20160808 20160912 20161017 20161114 20161212 20170123 20170213 20170313,,,,
本庁管内,ドミール大津,本庁A2,月 木,20160302 20160316 20160330 20160413 20160427 20160511 20160525 20160608 20160622 20160706 20160720 20160803 20160817 20160831 20160914 20160928 20161012 20161026 20161109 20161123 20161207 20161221 20170104 20170118 20170201 20170215 20170301 20170315 20170329,火,20160408 20160513 20160610 20160708 20160812 20160909 20161014 20161111 20161202 20170113 20170210 20170310,,20160302 20160316 20160330 20160413 20160427 20160511 20160525 20160608 20160622 20160706 20160720 20160803 20160817 20160831 20160914 20160928 20161012 20161026 20161109 20161123 20161207 20161221 20170104 20170118 20170201 20170215 20170301 20170315 20170329,20160302 20160316 20160330 20160413 20160427 20160511 20160525 20160608 20160622 20160706 20160720 20160803 20160817 20160831 20160914 20160928 20161012 20161026 20161109 20161123 20161207 20161221 20170104 20170118 20170201 20170215 20170301 20170315 20170329,,,,,,20160325 20160422 20160527 20160624 20160729 20160826 20160930 20161028 20161125 20161216 20170127 20170224 20170324,,,,
本庁管内,豊原町 ,本庁A1,月 木,20160302 20160316 20160330 20160413 20160427 20160511 20160525 20160608 20160622 20160706 20160720 20160803 20160817 20160831 20160914 20160928 20161012 20161026 20161109 20161123 20161207 20161221 20170104 20170118 20170201 20170215 20170301 20170315 20170329,火,20160401 20160506 20160603 20160701 20160805 20160902 20161007 20161104 20161202 20170106 20170203 20170303,,20160302 20160316 20160330 20160413 20160427 20160511 20160525 20160608 20160622 20160706 20160720 20160803 20160817 20160831 20160914 20160928 20161012 20161026 20161109 20161123 20161207 20161221 20170104 20170118 20170201 20170215 20170301 20170315 20170329,20160302 20160316 20160330 20160413 20160427 20160511 20160525 20160608 20160622 20160706 20160720 20160803 20160817 20160831 20160914 20160928 20161012 20161026 20161109 20161123 20161207 20161221 20170104 20170118 20170201 20170215 20170301 20170315 20170329,,,,,,20160318 20160415 20160520 20160617 20160722 20160819 20160916 20161021 20161118 20161209 20170120 20170217 20170317,,,,
本庁管内,豊原町みどり苑 ,本庁A1,月 木,20160302 20160316 20160330 20160413 20160427 20160511 20160525 20160608 20160622 20160706 20160720 20160803 20160817 20160831 20160914 20160928 20161012 20161026 20161109 20161123 20161207 20161221 20170104 20170118 20170201 20170215 20170301 20170315 20170329,火,20160401 20160506 20160603 20160701 20160805 20160902 20161007 20161104 20161202 20170106 20170203 20170303,,20160302 20160316 20160330 20160413 20160427 20160511 20160525 20160608 20160622 20160706 20160720 20160803 20160817 20160831 20160914 20160928 20161012 20161026 20161109 20161123 20161207 20161221 20170104 20170118 20170201 20170215 20170301 20170315 20170329,20160302 20160316 20160330 20160413 20160427 20160511 20160525 20160608 20160622 20160706 20160720 20160803 20160817 20160831 20160914 20160928 20161012 20161026 20161109 20161123 20161207 20161221 20170104 20170118 20170201 20170215 20170301 20170315 20170329,,,,,,20160318 20160415 20160520 20160617 20160722 20160819 20160916 20161021 20161118 20161209 20170120 20170217 20170317,,,,
本庁管内,中町 ,本庁B2,火 金,20160309 20160323 20160406 20160420 20160504 20160518 20160601 20160615 20160629 20160713 20160727 20160810 20160824 20160907 20160921 20161005 20161019 20161102 20161116 20161130 20161214 20161228 20170111 20170125 20170208 20170222 20170308 20170322,月,20160324 20160428 20160526 20160623 20160728 20160825 20160929 20161027 20161124 20161222 20170126 20170223 20170323,,20160309 20160323 20160406 20160420 20160504 20160518 20160601 20160615 20160629 20160713 20160727 20160810 20160824 20160907 20160921 20161005 20161019 20161102 20161116 20161130 20161214 20161228 20170111 20170125 20170208 20170222 20170308 20170322,20160309 20160323 20160406 20160420 20160504 20160518 20160601 20160615 20160629 20160713 20160727 20160810 20160824 20160907 20160921 20161005 20161019 20161102 20161116 20161130 20161214 20161228 20170111 20170125 20170208 20170222 20170308 20170322,,,,,,20160414 20160519 20160609 20160714 20160818 20160908 20161013 20161117 20161208 20170112 20170209 20170309,,,,
本庁管内,中河原町,本庁A4,月 木,20160302 20160316 20160330 20160413 20160427 20160511 20160525 20160608 20160622 20160706 20160720 20160803 20160817 20160831 20160914 20160928 20161012 20161026 20161109 20161123 20161207 20161221 20170104 20170118 20170201 20170215 20170301 20170315 20170329,金,20160412 20160517 20160614 20160712 20160809 20160913 20161011 20161115 20161213 20170117 20170214 20170314,,20160302 20160316 20160330 20160413 20160427 20160511 20160525 20160608 20160622 20160706 20160720 20160803 20160817 20160831 20160914 20160928 20161012 20161026 20161109 20161123 20161207 20161221 20170104 20170118 20170201 20170215 20170301 20170315 20170329,20160302 20160316 20160330 20160413 20160427 20160511 20160525 20160608 20160622 20160706 20160720 20160803 20160817 20160831 20160914 20160928 20161012 20161026 20161109 20161123 20161207 20161221 20170104 20170118 20170201 20170215 20170301 20170315 20170329,,,,,,20160322 20160426 20160531 20160628 20160726 20160823 20160927 20161025 20161129 20161227 20170131 20170228 20170328,,,,
本庁管内,名古須町 ,本庁A2,月 木,20160302 20160316 20160330 20160413 20160427 20160511 20160525 20160608 20160622 20160706 20160720 20160803 20160817 20160831 20160914 20160928 20161012 20161026 20161109 20161123 20161207 20161221 20170104 20170118 20170201 20170215 20170301 20170315 20170329,火,20160408 20160513 20160610 20160708 20160812 20160909 20161014 20161111 20161202 20170113 20170210 20170310,,20160302 20160316 20160330 20160413 20160427 20160511 20160525 20160608 20160622 20160706 20160720 20160803 20160817 20160831 20160914 20160928 20161012 20161026 20161109 20161123 20161207 20161221 20170104 20170118 20170201 20170215 20170301 20170315 20170329,20160302 20160316 20160330 20160413 20160427 20160511 20160525 20160608 20160622 20160706 20160720 20160803 20160817 20160831 20160914 20160928 20161012 20161026 20161109 20161123 20161207 20161221 20170104 20170118 20170201 20170215 20170301 20170315 20170329,,,,,,20160325 20160422 20160527 20160624 20160729 20160826 20160930 20161028 20161125 20161216 20170127 20170224 20170324,,,,
本庁管内,名古須西 ,本庁A4,月 木,20160302 20160316 20160330 20160413 20160427 20160511 20160525 20160608 20160622 20160706 20160720 20160803 20160817 20160831 20160914 20160928 20161012 20161026 20161109 20161123 20161207 20161221 20170104 20170118 20170201 20170215 20170301 20170315 20170329,金,20160412 20160517 20160614 20160712 20160809 20160913 20161011 20161115 20161213 20170117 20170214 20170314,,20160302 20160316 20160330 20160413 20160427 20160511 20160525 20160608 20160622 20160706 20160720 20160803 20160817 20160831 20160914 20160928 20161012 20161026 20161109 20161123 20161207 20161221 20170104 20170118 20170201 20170215 20170301 20170315 20170329,20160302 20160316 20160330 20160413 20160427 20160511 20160525 20160608 20160622 20160706 20160720 20160803 20160817 20160831 20160914 20160928 20161012 20161026 20161109 20161123 20161207 20161221 20170104 20170118 20170201 20170215 20170301 20170315 20170329,,,,,,20160322 20160426 20160531 20160628 20160726 20160823 20160927 20161025 20161129 20161227 20170131 20170228 20170328,,,,
本庁管内,南郊町雇用促進住宅 ,本庁A2,月 木,20160302 20160316 20160330 20160413 20160427 20160511 20160525 20160608 20160622 20160706 20160720 20160803 20160817 20160831 20160914 20160928 20161012 20161026 20161109 20161123 20161207 20161221 20170104 20170118 20170201 20170215 20170301 20170315 20170329,火,20160408 20160513 20160610 20160708 20160812 20160909 20161014 20161111 20161202 20170113 20170210 20170310,,20160302 20160316 20160330 20160413 20160427 20160511 20160525 20160608 20160622 20160706 20160720 20160803 20160817 20160831 20160914 20160928 20161012 20161026 20161109 20161123 20161207 20161221 20170104 20170118 20170201 20170215 20170301 20170315 20170329,20160302 20160316 20160330 20160413 20160427 20160511 20160525 20160608 20160622 20160706 20160720 20160803 20160817 20160831 20160914 20160928 20161012 20161026 20161109 20161123 20161207 20161221 20170104 20170118 20170201 20170215 20170301 20170315 20170329,,,,,,20160325 20160422 20160527 20160624 20160729 20160826 20160930 20161028 20161125 20161216 20170127 20170224 20170324,,,,
本庁管内,西町,本庁B4,火 金,20160309 20160323 20160406 20160420 20160504 20160518 20160601 20160615 20160629 20160713 20160727 20160810 20160824 20160907 20160921 20161005 20161019 20161102 20161116 20161130 20161214 20161228 20170111 20170125 20170208 20170222 20170308 20170322,木,20160328 20160425 20160530 20160627 20160725 20160829 20160926 20161031 20161128 20161226 20170130 20170227 20170327,,20160309 20160323 20160406 20160420 20160504 20160518 20160601 20160615 20160629 20160713 20160727 20160810 20160824 20160907 20160921 20161005 20161019 20161102 20161116 20161130 20161214 20161228 20170111 20170125 20170208 20170222 20170308 20170322,20160309 20160323 20160406 20160420 20160504 20160518 20160601 20160615 20160629 20160713 20160727 20160810 20160824 20160907 20160921 20161005 20161019 20161102 20161116 20161130 20161214 20161228 20170111 20170125 20170208 20170222 20170308 20170322,,,,,,20160411 20160516 20160613 20160711 20160808 20160912 20161017 20161114 20161212 20170123 20170213 20170313,,,,
本庁管内,西井村町 ,本庁B2,火 金,20160309 20160323 20160406 20160420 20160504 20160518 20160601 20160615 20160629 20160713 20160727 20160810 20160824 20160907 20160921 20161005 20161019 20161102 20161116 20161130 20161214 20161228 20170111 20170125 20170208 20170222 20170308 20170322,月,20160324 20160428 20160526 20160623 20160728 20160825 20160929 20161027 20161124 20161222 20170126 20170223 20170323,,20160309 20160323 20160406 20160420 20160504 20160518 20160601 20160615 20160629 20160713 20160727 20160810 20160824 20160907 20160921 20161005 20161019 20161102 20161116 20161130 20161214 20161228 20170111 20170125 20170208 20170222 20170308 20170322,20160309 20160323 20160406 20160420 20160504 20160518 20160601 20160615 20160629 20160713 20160727 20160810 20160824 20160907 20160921 20161005 20161019 20161102 20161116 20161130 20161214 20161228 20170111 20170125 20170208 20170222 20170308 20170322,,,,,,20160414 20160519 20160609 20160714 20160818 20160908 20161013 20161117 20161208 20170112 20170209 20170309,,,,
本庁管内,虹が丘町 ,本庁B1,火 金,20160309 20160323 20160406 20160420 20160504 20160518 20160601 20160615 20160629 20160713 20160727 20160810 20160824 20160907 20160921 20161005 20161019 20161102 20161116 20161130 20161214 20161228 20170111 20170125 20170208 20170222 20170308 20170322,月,20160317 20160421 20160526 20160616 20160721 20160825 20160915 20161020 20161124 20161215 20170119 20170216 20170316,,20160309 20160323 20160406 20160420 20160504 20160518 20160601 20160615 20160629 20160713 20160727 20160810 20160824 20160907 20160921 20161005 20161019 20161102 20161116 20161130 20161214 20161228 20170111 20170125 20170208 20170222 20170308 20170322,20160309 20160323 20160406 20160420 20160504 20160518 20160601 20160615 20160629 20160713 20160727 20160810 20160824 20160907 20160921 20161005 20161019 20161102 20161116 20161130 20161214 20161228 20170111 20170125 20170208 20170222 20170308 20170322,,,,,,20160407 20160512 20160602 20160707 20160804 20160901 20161006 20161110 20161201 20170105 20170202 20170302,,,,
本庁管内,西黒部町,本庁A4,月 木,20160302 20160316 20160330 20160413 20160427 20160511 20160525 20160608 20160622 20160706 20160720 20160803 20160817 20160831 20160914 20160928 20161012 20161026 20161109 20161123 20161207 20161221 20170104 20170118 20170201 20170215 20170301 20170315 20170329,金,20160412 20160517 20160614 20160712 20160809 20160913 20161011 20161115 20161213 20170117 20170214 20170314,,20160302 20160316 20160330 20160413 20160427 20160511 20160525 20160608 20160622 20160706 20160720 20160803 20160817 20160831 20160914 20160928 20161012 20161026 20161109 20161123 20161207 20161221 20170104 20170118 20170201 20170215 20170301 20170315 20170329,20160302 20160316 20160330 20160413 20160427 20160511 20160525 20160608 20160622 20160706 20160720 20160803 20160817 20160831 20160914 20160928 20161012 20161026 20161109 20161123 20161207 20161221 20170104 20170118 20170201 20170215 20170301 20170315 20170329,,,,,,20160322 20160426 20160531 20160628 20160726 20160823 20160927 20161025 20161129 20161227 20170131 20170228 20170328,,,,
本庁管内,西野町,本庁B1,火 金,20160309 20160323 20160406 20160420 20160504 20160518 20160601 20160615 20160629 20160713 20160727 20160810 20160824 20160907 20160921 20161005 20161019 20161102 20161116 20161130 20161214 20161228 20170111 20170125 20170208 20170222 20170308 20170322,月,20160317 20160421 20160526 20160616 20160721 20160825 20160915 20161020 20161124 20161215 20170119 20170216 20170316,,20160309 20160323 20160406 20160420 20160504 20160518 20160601 20160615 20160629 20160713 20160727 20160810 20160824 20160907 20160921 20161005 20161019 20161102 20161116 20161130 20161214 20161228 20170111 20170125 20170208 20170222 20170308 20170322,20160309 20160323 20160406 20160420 20160504 20160518 20160601 20160615 20160629 20160713 20160727 20160810 20160824 20160907 20160921 20161005 20161019 20161102 20161116 20161130 20161214 20161228 20170111 20170125 20170208 20170222 20170308 20170322,,,,,,20160407 20160512 20160602 20160707 20160804 20160901 20161006 20161110 20161201 20170105 20170202 20170302,,,,
本庁管内,西之庄町,本庁B4,火 金,20160309 20160323 20160406 20160420 20160504 20160518 20160601 20160615 20160629 20160713 20160727 20160810 20160824 20160907 20160921 20161005 20161019 20161102 20161116 20161130 20161214 20161228 20170111 20170125 20170208 20170222 20170308 20170322,木,20160328 20160425 20160530 20160627 20160725 20160829 20160926 20161031 20161128 20161226 20170130 20170227 20170327,,20160309 20160323 20160406 20160420 20160504 20160518 20160601 20160615 20160629 20160713 20160727 20160810 20160824 20160907 20160921 20161005 20161019 20161102 20161116 20161130 20161214 20161228 20170111 20170125 20170208 20170222 20170308 20170322,20160309 20160323 20160406 20160420 20160504 20160518 20160601 20160615 20160629 20160713 20160727 20160810 20160824 20160907 20160921 20161005 20161019 20161102 20161116 20161130 20161214 20161228 20170111 20170125 20170208 20170222 20170308 20170322,,,,,,20160411 20160516 20160613 20160711 20160808 20160912 20161017 20161114 20161212 20170123 20170213 20170313,,,,
本庁管内,西野々町,本庁A4,月 木,20160302 20160316 20160330 20160413 20160427 20160511 20160525 20160608 20160622 20160706 20160720 20160803 20160817 20160831 20160914 20160928 20161012 20161026 20161109 20161123 20161207 20161221 20170104 20170118 20170201 20170215 20170301 20170315 20170329,金,20160412 20160517 20160614 20160712 20160809 20160913 20161011 20161115 20161213 20170117 20170214 20170314,,20160302 20160316 20160330 20160413 20160427 20160511 20160525 20160608 20160622 20160706 20160720 20160803 20160817 20160831 20160914 20160928 20161012 20161026 20161109 20161123 20161207 20161221 20170104 20170118 20170201 20170215 20170301 20170315 20170329,20160302 20160316 20160330 20160413 20160427 20160511 20160525 20160608 20160622 20160706 20160720 20160803 20160817 20160831 20160914 20160928 20161012 20161026 20161109 20161123 20161207 20161221 20170104 20170118 20170201 20170215 20170301 20170315 20170329,,,,,,20160322 20160426 20160531 20160628 20160726 20160823 20160927 20161025 20161129 20161227 20170131 20170228 20170328,,,,
本庁管内,西林 ,本庁B2,火 金,20160309 20160323 20160406 20160420 20160504 20160518 20160601 20160615 20160629 20160713 20160727 20160810 20160824 20160907 20160921 20161005 20161019 20161102 20161116 20161130 20161214 20161228 20170111 20170125 20170208 20170222 20170308 20170322,月,20160324 20160428 20160526 20160623 20160728 20160825 20160929 20161027 20161124 20161222 20170126 20170223 20170323,,20160309 20160323 20160406 20160420 20160504 20160518 20160601 20160615 20160629 20160713 20160727 20160810 20160824 20160907 20160921 20161005 20161019 20161102 20161116 20161130 20161214 20161228 20170111 20170125 20170208 20170222 20170308 20170322,20160309 20160323 20160406 20160420 20160504 20160518 20160601 20160615 20160629 20160713 20160727 20160810 20160824 20160907 20160921 20161005 20161019 20161102 20161116 20161130 20161214 20161228 20170111 20170125 20170208 20170222 20170308 20170322,,,,,,20160414 20160519 20160609 20160714 20160818 20160908 20161013 20161117 20161208 20170112 20170209 20170309,,,,
本庁管内,丹生寺町,本庁B1,火 金,20160309 20160323 20160406 20160420 20160504 20160518 20160601 20160615 20160629 20160713 20160727 20160810 20160824 20160907 20160921 20161005 20161019 20161102 20161116 20161130 20161214 20161228 20170111 20170125 20170208 20170222 20170308 20170322,月,20160317 20160421 20160526 20160616 20160721 20160825 20160915 20161020 20161124 20161215 20170119 20170216 20170316,,20160309 20160323 20160406 20160420 20160504 20160518 20160601 20160615 20160629 20160713 20160727 20160810 20160824 20160907 20160921 20161005 20161019 20161102 20161116 20161130 20161214 20161228 20170111 20170125 20170208 20170222 20170308 20170322,20160309 20160323 20160406 20160420 20160504 20160518 20160601 20160615 20160629 20160713 20160727 20160810 20160824 20160907 20160921 20161005 20161019 20161102 20161116 20161130 20161214 20161228 20170111 20170125 20170208 20170222 20170308 20170322,,,,,,20160407 20160512 20160602 20160707 20160804 20160901 20161006 20161110 20161201 20170105 20170202 20170302,,,,
本庁管内,野村町,本庁B4,火 金,20160309 20160323 20160406 20160420 20160504 20160518 20160601 20160615 20160629 20160713 20160727 20160810 20160824 20160907 20160921 20161005 20161019 20161102 20161116 20161130 20161214 20161228 20170111 20170125 20170208 20170222 20170308 20170322,木,20160328 20160425 20160530 20160627 20160725 20160829 20160926 20161031 20161128 20161226 20170130 20170227 20170327,,20160309 20160323 20160406 20160420 20160504 20160518 20160601 20160615 20160629 20160713 20160727 20160810 20160824 20160907 20160921 20161005 20161019 20161102 20161116 20161130 20161214 20161228 20170111 20170125 20170208 20170222 20170308 20170322,20160309 20160323 20160406 20160420 20160504 20160518 20160601 20160615 20160629 20160713 20160727 20160810 20160824 20160907 20160921 20161005 20161019 20161102 20161116 20161130 20161214 20161228 20170111 20170125 20170208 20170222 20170308 20170322,,,,,,20160411 20160516 20160613 20160711 20160808 20160912 20161017 20161114 20161212 20170123 20170213 20170313,,,,
本庁管内,パークタウン,本庁A1,月 木,20160302 20160316 20160330 20160413 20160427 20160511 20160525 20160608 20160622 20160706 20160720 20160803 20160817 20160831 20160914 20160928 20161012 20161026 20161109 20161123 20161207 20161221 20170104 20170118 20170201 20170215 20170301 20170315 20170329,火,20160401 20160506 20160603 20160701 20160805 20160902 20161007 20161104 20161202 20170106 20170203 20170303,,20160302 20160316 20160330 20160413 20160427 20160511 20160525 20160608 20160622 20160706 20160720 20160803 20160817 20160831 20160914 20160928 20161012 20161026 20161109 20161123 20161207 20161221 20170104 20170118 20170201 20170215 20170301 20170315 20170329,20160302 20160316 20160330 20160413 20160427 20160511 20160525 20160608 20160622 20160706 20160720 20160803 20160817 20160831 20160914 20160928 20161012 20161026 20161109 20161123 20161207 20161221 20170104 20170118 20170201 20170215 20170301 20170315 20170329,,,,,,20160318 20160415 20160520 20160617 20160722 20160819 20160916 20161021 20161118 20161209 20170120 20170217 20170317,,,,
本庁管内,八太町,本庁B1,火 金,20160309 20160323 20160406 20160420 20160504 20160518 20160601 20160615 20160629 20160713 20160727 20160810 20160824 20160907 20160921 20161005 20161019 20161102 20161116 20161130 20161214 20161228 20170111 20170125 20170208 20170222 20170308 20170322,月,20160317 20160421 20160526 20160616 20160721 20160825 20160915 20161020 20161124 20161215 20170119 20170216 20170316,,20160309 20160323 20160406 20160420 20160504 20160518 20160601 20160615 20160629 20160713 20160727 20160810 20160824 20160907 20160921 20161005 20161019 20161102 20161116 20161130 20161214 20161228 20170111 20170125 20170208 20170222 20170308 20170322,20160309 20160323 20160406 20160420 20160504 20160518 20160601 20160615 20160629 20160713 20160727 20160810 20160824 20160907 20160921 20161005 20161019 20161102 20161116 20161130 20161214 20161228 20170111 20170125 20170208 20170222 20170308 20170322,,,,,,20160407 20160512 20160602 20160707 20160804 20160901 20161006 20161110 20161201 20170105 20170202 20170302,,,,
